run_order,run_id,task_id,task_source,task_type,agent,condition,replication
1,ccx-migration-026-codex-baseline-r1,ccx-migration-026,codescalebench,migration,codex,baseline,1
2,ccx-migration-026-codex-cgp-r1,ccx-migration-026,codescalebench,migration,codex,cgp,1
3,ccx-migration-026-claude-code-baseline-r1,ccx-migration-026,codescalebench,migration,claude-code,baseline,1
4,ccx-migration-026-claude-code-cgp-r1,ccx-migration-026,codescalebench,migration,claude-code,cgp,1
5,ccx-migration-026-gemini-cli-baseline-r1,ccx-migration-026,codescalebench,migration,gemini-cli,baseline,1
6,ccx-migration-026-gemini-cli-cgp-r1,ccx-migration-026,codescalebench,migration,gemini-cli,cgp,1
7,ccx-migration-107-codex-baseline-r1,ccx-migration-107,codescalebench,migration,codex,baseline,1
8,ccx-migration-107-codex-cgp-r1,ccx-migration-107,codescalebench,migration,codex,cgp,1
9,ccx-migration-107-claude-code-baseline-r1,ccx-migration-107,codescalebench,migration,claude-code,baseline,1
10,ccx-migration-107-claude-code-cgp-r1,ccx-migration-107,codescalebench,migration,claude-code,cgp,1
11,ccx-migration-107-gemini-cli-baseline-r1,ccx-migration-107,codescalebench,migration,gemini-cli,baseline,1
12,ccx-migration-107-gemini-cli-cgp-r1,ccx-migration-107,codescalebench,migration,gemini-cli,cgp,1
13,ccx-migration-114-codex-baseline-r1,ccx-migration-114,codescalebench,migration,codex,baseline,1
14,ccx-migration-114-codex-cgp-r1,ccx-migration-114,codescalebench,migration,codex,cgp,1
15,ccx-migration-114-claude-code-baseline-r1,ccx-migration-114,codescalebench,migration,claude-code,baseline,1
16,ccx-migration-114-claude-code-cgp-r1,ccx-migration-114,codescalebench,migration,claude-code,cgp,1
17,ccx-migration-114-gemini-cli-baseline-r1,ccx-migration-114,codescalebench,migration,gemini-cli,baseline,1
18,ccx-migration-114-gemini-cli-cgp-r1,ccx-migration-114,codescalebench,migration,gemini-cli,cgp,1
19,ccx-migration-117-codex-baseline-r1,ccx-migration-117,codescalebench,migration,codex,baseline,1
20,ccx-migration-117-codex-cgp-r1,ccx-migration-117,codescalebench,migration,codex,cgp,1
21,ccx-migration-117-claude-code-baseline-r1,ccx-migration-117,codescalebench,migration,claude-code,baseline,1
22,ccx-migration-117-claude-code-cgp-r1,ccx-migration-117,codescalebench,migration,claude-code,cgp,1
23,ccx-migration-117-gemini-cli-baseline-r1,ccx-migration-117,codescalebench,migration,gemini-cli,baseline,1
24,ccx-migration-117-gemini-cli-cgp-r1,ccx-migration-117,codescalebench,migration,gemini-cli,cgp,1
25,ccx-migration-195-codex-baseline-r1,ccx-migration-195,codescalebench,migration,codex,baseline,1
26,ccx-migration-195-codex-cgp-r1,ccx-migration-195,codescalebench,migration,codex,cgp,1
27,ccx-migration-195-claude-code-baseline-r1,ccx-migration-195,codescalebench,migration,claude-code,baseline,1
28,ccx-migration-195-claude-code-cgp-r1,ccx-migration-195,codescalebench,migration,claude-code,cgp,1
29,ccx-migration-195-gemini-cli-baseline-r1,ccx-migration-195,codescalebench,migration,gemini-cli,baseline,1
30,ccx-migration-195-gemini-cli-cgp-r1,ccx-migration-195,codescalebench,migration,gemini-cli,cgp,1
31,ccx-migration-196-codex-baseline-r1,ccx-migration-196,codescalebench,migration,codex,baseline,1
32,ccx-migration-196-codex-cgp-r1,ccx-migration-196,codescalebench,migration,codex,cgp,1
